Month,Agency,Projection,Recovery
12/1/2020,MTA Consolidated,Worst Case (Dec 2020),0.36
1/1/2021,Subway,Best Case (Dec 2020),0.41
1/1/2021,Subway,Midpoint (Dec 2020),0.29
1/1/2021,Subway,Worst Case (Dec 2020),0.17
1/1/2021,Bus,Best Case (Dec 2020),0.51
1/1/2021,Bus,Midpoint (Dec 2020),0.37
1/1/2021,Bus,Worst Case (Dec 2020),0.23
1/1/2021,LIRR,Best Case (Dec 2020),0.32
1/1/2021,LIRR,Midpoint (Dec 2020),0.23
1/1/2021,LIRR,Worst Case (Dec 2020),0.14
1/1/2021,MNR,Best Case (Dec 2020),0.3
1/1/2021,MNR,Midpoint (Dec 2020),0.205
1/1/2021,MNR,Worst Case (Dec 2020),0.11
1/1/2021,SIR,Best Case (Dec 2020),0.41
1/1/2021,SIR,Midpoint (Dec 2020),0.29
1/1/2021,SIR,Worst Case (Dec 2020),0.17
1/1/2021,BT,Best Case (May 2020),0.65
1/1/2021,BT,Midpoint (May 2020),0.5
1/1/2021,BT,Worst Case (May 2020),0.35
1/1/2021,BT,Best Case (Nov 2020),0.86
1/1/2021,BT,Midpoint (Nov 2020),0.785
1/1/2021,BT,Worst Case (Nov 2020),0.71
1/1/2021,BT,Best Case (Dec 2020),0.86
1/1/2021,BT,Midpoint (Dec 2020),0.785
1/1/2021,BT,Worst Case (Dec 2020),0.71
1/1/2021,MTA Consolidated,Best Case (May 2020),0.55
1/1/2021,MTA Consolidated,Midpoint (May 2020),0.325
1/1/2021,MTA Consolidated,Worst Case (May 2020),0.1
1/1/2021,MTA Consolidated,Best Case (Nov 2020),0.36
1/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.27
1/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.18
1/1/2021,MTA Consolidated,Best Case (Dec 2020),0.43
1/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.305
1/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.18
2/1/2021,Subway,Best Case (Dec 2020),0.41
2/1/2021,Subway,Midpoint (Dec 2020),0.29
2/1/2021,Subway,Worst Case (Dec 2020),0.17
2/1/2021,Bus,Best Case (Dec 2020),0.51
2/1/2021,Bus,Midpoint (Dec 2020),0.37
2/1/2021,Bus,Worst Case (Dec 2020),0.23
2/1/2021,LIRR,Best Case (Dec 2020),0.32
2/1/2021,LIRR,Midpoint (Dec 2020),0.23
2/1/2021,LIRR,Worst Case (Dec 2020),0.14
2/1/2021,MNR,Best Case (Dec 2020),0.3
2/1/2021,MNR,Midpoint (Dec 2020),0.205
2/1/2021,MNR,Worst Case (Dec 2020),0.11
2/1/2021,SIR,Best Case (Dec 2020),0.41
2/1/2021,SIR,Midpoint (Dec 2020),0.29
2/1/2021,SIR,Worst Case (Dec 2020),0.17
2/1/2021,BT,Best Case (May 2020),0.65
2/1/2021,BT,Midpoint (May 2020),0.513
2/1/2021,BT,Worst Case (May 2020),0.375
2/1/2021,BT,Best Case (Nov 2020),0.86
2/1/2021,BT,Midpoint (Nov 2020),0.785
2/1/2021,BT,Worst Case (Nov 2020),0.71
2/1/2021,BT,Best Case (Dec 2020),0.86
2/1/2021,BT,Midpoint (Dec 2020),0.785
2/1/2021,BT,Worst Case (Dec 2020),0.71
2/1/2021,MTA Consolidated,Best Case (May 2020),0.55
2/1/2021,MTA Consolidated,Midpoint (May 2020),0.338
2/1/2021,MTA Consolidated,Worst Case (May 2020),0.125
2/1/2021,MTA Consolidated,Best Case (Nov 2020),0.36
2/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.27
2/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.18
2/1/2021,MTA Consolidated,Best Case (Dec 2020),0.43
2/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.305
2/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.18
3/1/2021,Subway,Best Case (Dec 2020),0.41
3/1/2021,Subway,Midpoint (Dec 2020),0.29
3/1/2021,Subway,Worst Case (Dec 2020),0.17
3/1/2021,Bus,Best Case (Dec 2020),0.51
3/1/2021,Bus,Midpoint (Dec 2020),0.37
3/1/2021,Bus,Worst Case (Dec 2020),0.23
3/1/2021,LIRR,Best Case (Dec 2020),0.32
3/1/2021,LIRR,Midpoint (Dec 2020),0.23
3/1/2021,LIRR,Worst Case (Dec 2020),0.14
3/1/2021,MNR,Best Case (Dec 2020),0.3
3/1/2021,MNR,Midpoint (Dec 2020),0.205
3/1/2021,MNR,Worst Case (Dec 2020),0.11
3/1/2021,SIR,Best Case (Dec 2020),0.41
3/1/2021,SIR,Midpoint (Dec 2020),0.29
3/1/2021,SIR,Worst Case (Dec 2020),0.17
3/1/2021,BT,Best Case (May 2020),0.675
3/1/2021,BT,Midpoint (May 2020),0.538
3/1/2021,BT,Worst Case (May 2020),0.4
3/1/2021,BT,Best Case (Nov 2020),0.86
3/1/2021,BT,Midpoint (Nov 2020),0.785
3/1/2021,BT,Worst Case (Nov 2020),0.71
3/1/2021,BT,Best Case (Dec 2020),0.86
3/1/2021,BT,Midpoint (Dec 2020),0.785
3/1/2021,BT,Worst Case (Dec 2020),0.71
3/1/2021,MTA Consolidated,Best Case (May 2020),0.55
3/1/2021,MTA Consolidated,Midpoint (May 2020),0.35
3/1/2021,MTA Consolidated,Worst Case (May 2020),0.15
3/1/2021,MTA Consolidated,Best Case (Nov 2020),0.36
3/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.27
3/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.18
3/1/2021,MTA Consolidated,Best Case (Dec 2020),0.43
3/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.305
3/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.18
4/1/2021,Subway,Best Case (Dec 2020),0.49
4/1/2021,Subway,Midpoint (Dec 2020),0.37
4/1/2021,Subway,Worst Case (Dec 2020),0.25
4/1/2021,Bus,Best Case (Dec 2020),0.56
4/1/2021,Bus,Midpoint (Dec 2020),0.445
4/1/2021,Bus,Worst Case (Dec 2020),0.33
4/1/2021,LIRR,Best Case (Dec 2020),0.4
4/1/2021,LIRR,Midpoint (Dec 2020),0.305
4/1/2021,LIRR,Worst Case (Dec 2020),0.21
4/1/2021,MNR,Best Case (Dec 2020),0.38
4/1/2021,MNR,Midpoint (Dec 2020),0.275
4/1/2021,MNR,Worst Case (Dec 2020),0.17
4/1/2021,SIR,Best Case (Dec 2020),0.49
4/1/2021,SIR,Midpoint (Dec 2020),0.37
4/1/2021,SIR,Worst Case (Dec 2020),0.25
4/1/2021,BT,Best Case (May 2020),0.7
4/1/2021,BT,Midpoint (May 2020),0.563
4/1/2021,BT,Worst Case (May 2020),0.425
4/1/2021,BT,Best Case (Nov 2020),0.98
4/1/2021,BT,Midpoint (Nov 2020),0.915
4/1/2021,BT,Worst Case (Nov 2020),0.85
4/1/2021,BT,Best Case (Dec 2020),0.98
4/1/2021,BT,Midpoint (Dec 2020),0.915
4/1/2021,BT,Worst Case (Dec 2020),0.85
4/1/2021,MTA Consolidated,Best Case (May 2020),0.575
4/1/2021,MTA Consolidated,Midpoint (May 2020),0.388
4/1/2021,MTA Consolidated,Worst Case (May 2020),0.2
4/1/2021,MTA Consolidated,Best Case (Nov 2020),0.44
4/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.345
4/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.25
4/1/2021,MTA Consolidated,Best Case (Dec 2020),0.5
4/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.385
4/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.27
5/1/2021,Subway,Best Case (Dec 2020),0.49
5/1/2021,Subway,Midpoint (Dec 2020),0.37
5/1/2021,Subway,Worst Case (Dec 2020),0.25
5/1/2021,Bus,Best Case (Dec 2020),0.56
5/1/2021,Bus,Midpoint (Dec 2020),0.445
5/1/2021,Bus,Worst Case (Dec 2020),0.33
5/1/2021,LIRR,Best Case (Dec 2020),0.4
5/1/2021,LIRR,Midpoint (Dec 2020),0.305
5/1/2021,LIRR,Worst Case (Dec 2020),0.21
5/1/2021,MNR,Best Case (Dec 2020),0.38
5/1/2021,MNR,Midpoint (Dec 2020),0.275
5/1/2021,MNR,Worst Case (Dec 2020),0.17
5/1/2021,SIR,Best Case (Dec 2020),0.49
5/1/2021,SIR,Midpoint (Dec 2020),0.37
5/1/2021,SIR,Worst Case (Dec 2020),0.25
5/1/2021,BT,Best Case (May 2020),0.725
5/1/2021,BT,Midpoint (May 2020),0.588
